Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Class,folder
1,5.1,3.5,1.4,0.2,0,1
2,4.9,3,1.4,0.2,0,1
3,4.7,3.2,1.3,0.2,0,1
4,4.6,3.1,1.5,0.2,0,1
5,5,3.6,1.4,0.2,0,1
6,5.4,3.9,1.7,0.4,0,1
7,4.6,3.4,1.4,0.3,0,1
8,5,3.4,1.5,0.2,0,1
9,4.4,2.9,1.4,0.2,0,1
10,4.9,3.1,1.5,0.1,0,1
11,5.4,3.7,1.5,0.2,0,2
12,4.8,3.4,1.6,0.2,0,2
13,4.8,3,1.4,0.1,0,2
14,4.3,3,1.1,0.1,0,2
15,5.8,4,1.2,0.2,0,2
16,5.7,4.4,1.5,0.4,0,2
17,5.4,3.9,1.3,0.4,0,2
18,5.1,3.5,1.4,0.3,0,2
19,5.7,3.8,1.7,0.3,0,2
20,5.1,3.8,1.5,0.3,0,2
21,5.4,3.4,1.7,0.2,0,3
22,5.1,3.7,1.5,0.4,0,3
23,4.6,3.6,1,0.2,0,3
24,5.1,3.3,1.7,0.5,0,3
25,4.8,3.4,1.9,0.2,0,3
26,5,3,1.6,0.2,0,3
27,5,3.4,1.6,0.4,0,3
28,5.2,3.5,1.5,0.2,0,3
29,5.2,3.4,1.4,0.2,0,3
30,4.7,3.2,1.6,0.2,0,3
31,4.8,3.1,1.6,0.2,0,4
32,5.4,3.4,1.5,0.4,0,4
33,5.2,4.1,1.5,0.1,0,4
34,5.5,4.2,1.4,0.2,0,4
35,4.9,3.1,1.5,0.1,0,4
36,5,3.2,1.2,0.2,0,4
37,5.5,3.5,1.3,0.2,0,4
38,4.9,3.1,1.5,0.1,0,4
39,4.4,3,1.3,0.2,0,4
40,5.1,3.4,1.5,0.2,0,4
41,5,3.5,1.3,0.3,0,5
42,4.5,2.3,1.3,0.3,0,5
43,4.4,3.2,1.3,0.2,0,5
44,5,3.5,1.6,0.6,0,5
45,5.1,3.8,1.9,0.4,0,5
46,4.8,3,1.4,0.3,0,5
47,5.1,3.8,1.6,0.2,0,5
48,4.6,3.2,1.4,0.2,0,5
49,5.3,3.7,1.5,0.2,0,5
50,5,3.3,1.4,0.2,0,5
51,7,3.2,4.7,1.4,1,6
52,6.4,3.2,4.5,1.5,1,6
53,6.9,3.1,4.9,1.5,1,6
54,5.5,2.3,4,1.3,1,6
55,6.5,2.8,4.6,1.5,1,6
56,5.7,2.8,4.5,1.3,1,6
57,6.3,3.3,4.7,1.6,1,6
58,4.9,2.4,3.3,1,1,6
59,6.6,2.9,4.6,1.3,1,6
60,5.2,2.7,3.9,1.4,1,6
61,5,2,3.5,1,1,7
62,5.9,3,4.2,1.5,1,7
63,6,2.2,4,1,1,7
64,6.1,2.9,4.7,1.4,1,7
65,5.6,2.9,3.6,1.3,1,7
66,6.7,3.1,4.4,1.4,1,7
67,5.6,3,4.5,1.5,1,7
68,5.8,2.7,4.1,1,1,7
69,6.2,2.2,4.5,1.5,1,7
70,5.6,2.5,3.9,1.1,1,7
71,5.9,3.2,4.8,1.8,1,8
72,6.1,2.8,4,1.3,1,8
73,6.3,2.5,4.9,1.5,1,8
74,6.1,2.8,4.7,1.2,1,8
75,6.4,2.9,4.3,1.3,1,8
76,6.6,3,4.4,1.4,1,8
77,6.8,2.8,4.8,1.4,1,8
78,6.7,3,5,1.7,1,8
79,6,2.9,4.5,1.5,1,8
80,5.7,2.6,3.5,1,1,8
81,5.5,2.4,3.8,1.1,1,9
82,5.5,2.4,3.7,1,1,9
83,5.8,2.7,3.9,1.2,1,9
84,6,2.7,5.1,1.6,1,9
85,5.4,3,4.5,1.5,1,9
86,6,3.4,4.5,1.6,1,9
87,6.7,3.1,4.7,1.5,1,9
88,6.3,2.3,4.4,1.3,1,9
89,5.6,3,4.1,1.3,1,9
90,5.5,2.5,4,1.3,1,9
91,5.5,2.6,4.4,1.2,1,10
92,6.1,3,4.6,1.4,1,10
93,5.8,2.6,4,1.2,1,10
94,5,2.3,3.3,1,1,10
95,5.6,2.7,4.2,1.3,1,10
96,5.7,3,4.2,1.2,1,10
97,5.7,2.9,4.2,1.3,1,10
98,6.2,2.9,4.3,1.3,1,10
99,5.1,2.5,3,1.1,1,10
100,5.7,2.8,4.1,1.3,1,10
